"道具ID："	"物品名称20ABCD0E装备A=第几套B=职业（0通用1丐帮2少林3全真）C=套装（0无属性1阴2阳3内4外）D=品质E=装备subType700101开始是宝石"	"图标ID。填入icon的资源的名称"	"掉落模型ID"	"分类。1=货币，2=装备,3=消耗品，4=宝物，5=礼包，6=宝石，7=任务,8=英雄,9=材料"	"子类型，标识道具子类对于装备，1-武器，2-头盔，3-衣服，4-护肩，5-腰带，6-裤子，7-靴子，8-项链，9-护腕，10-左戒指，11-右戒指，12-饰品对于消耗品1=一般玩法消耗（用于跟道具类型无关的消耗），2=强化药剂，3=鉴定符,4=龙经验丹，5=自动使用血瓶，6=经验丹，7=喇叭8升级丹9=迷城重置符10=大血包11=大魔包12大魔瓶13尊爵体验卡，14=合成材料，15=合成符石，16=时装碎片，17=坐骑碎片19=宠物碎片20=秘籍升阶道具21=秘籍技能格开启道具,22=华山论剑卷轴,23单人首领卷轴=,24=叱咤王府卷轴,25=海上洪涛卷轴,26=千刃绝顶卷轴,27=大军西征卷轴,28=柔然入寇卷轴,29=未鉴定宝图,29=已鉴定宝图，31=再入琅琊卷轴32=280组队本33=300组队本对于宝物，1=坐骑10=宠物11=背旗12=法阵对于宝石，数字表示宝石种类，共9种对于礼包：1=普通礼包，2=时装包对于英雄：1.英雄碎片2.根骨丹3.助战相关道具4.武魂相关道具5.秘籍相关道具."	"使用等级"	"品质。0=白色，1=绿色，2=蓝色，3=紫色，4=金色，5=橙色，6=红色"	"职业限制。1=丐帮可用，2=少林可用，4=全真可用。填入和值"	"物品规则读ItemRuleConfig里的定义必填项"	"出售价格"	"叠加数量叠加多个与可计时冲突，警告！"	"拾取方式。0=手动拾取，1=自动拾取，2=自动拾取即使用，3=拾取进公会仓库，4=购买并自动使用（时装礼包）"	"物品描述"	"物品使用脚本"	"物品使用条件，[type,param0,param1]，type=1物品ID，物品数量type=2金币，所有金币，充值金币"	"特定场景中使用。0=副本，1=野外地图，2=主城"	"物品寿命（分）与ItemRuleConfig表中的计时规则配合生效"	"掉落拾取时是否有成就提示"	"是否记录log"	"是否批量使用"	"是否连续使用"	"是否快捷使用"	"装备显示"	"装备显示"	"装备显示"	"特殊显示"	"使用时打开功能界面"	"使用性别0=通用1=男2=女"	"获得途径"	""	""	""	""	
"7000005"	"簪子"	"gem,lvbs2"	"100004"	"7"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"簪子"	""	""	""	""	"1"	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"簪子"	""	""	""	""	
"7000006"	"草药"	"gem,lvbs2"	"100004"	"7"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"草药"	""	""	""	""	"1"	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"草药"	""	""	""	""	
"7000007"	"武功秘籍册子"	"gem,lvbs2"	"100004"	"7"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"武功秘籍册子"	""	""	""	""	"1"	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"武功秘籍册子"	""	""	""	""	
"7000008"	"木头"	"gem,lvbs2"	"100004"	"7"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"木头"	""	""	""	""	"1"	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"木头"	""	""	""	""	
"15010110"	"40级跨服副本少侠宝箱"	"ui_qiandao_png,box3_get"	"100013"	"5"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"40级[blue]蓝色[-]、[purple]紫色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010110,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010120"	"40级跨服副本宗师宝箱"	"ui_qiandao_png,box4_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"100"	"1"	"40级[blue]蓝色[-]、[purple]紫色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010120,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010130"	"40级跨服副本盟主宝箱"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"40级[blue]蓝色[-]、[purple]紫色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010130,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010210"	"80级跨服副本少侠宝箱"	"ui_qiandao_png,box3_get"	"100013"	"5"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"80级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010210,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010220"	"80级跨服副本宗师宝箱"	"ui_qiandao_png,box4_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"100"	"1"	"80级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010220,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010230"	"80级跨服副本盟主宝箱"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"80级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010230,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010310"	"120级跨服副本少侠宝箱"	"ui_qiandao_png,box3_get"	"100013"	"5"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"120级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010310,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010320"	"120级跨服副本宗师宝箱"	"ui_qiandao_png,box4_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"100"	"1"	"120级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010320,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010330"	"120级跨服副本盟主宝箱"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"120级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010330,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010410"	"160级跨服副本少侠宝箱"	"ui_qiandao_png,box4_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"100"	"1"	"160级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010410,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010420"	"160级跨服副本宗师宝箱"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"160级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010420,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010430"	"160级跨服副本盟主宝箱"	"ui_qiandao_png,g_box2_get"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"100"	"1"	"160级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010430,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010510"	"200级跨服副本少侠宝箱"	"ui_qiandao_png,box4_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"100"	"1"	"200级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010510,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010520"	"200级跨服副本宗师宝箱"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"200级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010520,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010530"	"200级跨服副本盟主宝箱"	"ui_qiandao_png,g_box2_get"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"100"	"1"	"200级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010530,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010610"	"240级跨服副本少侠宝箱"	"ui_qiandao_png,box4_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"100"	"1"	"240级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]、[orange]橙色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010610,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010620"	"240级跨服副本宗师宝箱"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"240级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]、[orange]橙色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010620,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010630"	"240级跨服副本盟主宝箱"	"ui_qiandao_png,g_box2_get"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"100"	"1"	"240级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]、[orange]橙色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010630,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010710"	"280级跨服副本少侠宝箱"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"280级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]、[orange]橙色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010710,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010720"	"280级跨服副本宗师宝箱"	"ui_qiandao_png,g_box2_get"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"100"	"1"	"280级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]、[orange]橙色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010720,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15010730"	"280级跨服副本盟主宝箱"	"ui_qiandao_png,g_box1_get"	"100013"	"5"	"1"	"1"	"5"	"7"	"3"	"100"	"100"	"1"	"280级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]、[orange]橙色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5010730,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011011"	"40级跨服副本少侠宝箱-容易"	"ui_qiandao_png,box3_get"	"100013"	"5"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"40级[blue]蓝色[-]、[purple]紫色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011011,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011012"	"40级跨服副本宗师宝箱-容易"	"ui_qiandao_png,box4_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"100"	"1"	"40级[blue]蓝色[-]、[purple]紫色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011012,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011013"	"40级跨服副本盟主宝箱-容易"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"40级[blue]蓝色[-]、[purple]紫色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011013,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011021"	"80级跨服副本少侠宝箱-容易"	"ui_qiandao_png,box3_get"	"100013"	"5"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"80级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011021,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011022"	"80级跨服副本宗师宝箱-容易"	"ui_qiandao_png,box4_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"100"	"1"	"80级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011022,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011023"	"80级跨服副本盟主宝箱-容易"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"80级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011023,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011031"	"120级跨服副本少侠宝箱-容易"	"ui_qiandao_png,box3_get"	"100013"	"5"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"120级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011031,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011032"	"120级跨服副本宗师宝箱-容易"	"ui_qiandao_png,box4_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"100"	"1"	"120级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011032,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011033"	"120级跨服副本盟主宝箱-容易"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"120级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011033,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011041"	"160级跨服副本少侠宝箱-容易"	"ui_qiandao_png,box4_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"100"	"1"	"160级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011041,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011042"	"160级跨服副本宗师宝箱-容易"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"160级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011042,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011043"	"160级跨服副本盟主宝箱-容易"	"ui_qiandao_png,g_box2_get"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"100"	"1"	"160级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011043,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011051"	"200级跨服副本少侠宝箱-容易"	"ui_qiandao_png,box4_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"100"	"1"	"200级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011051,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011052"	"200级跨服副本宗师宝箱-容易"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"200级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011052,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011053"	"200级跨服副本盟主宝箱-容易"	"ui_qiandao_png,g_box2_get"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"100"	"1"	"200级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011053,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011061"	"240级跨服副本少侠宝箱-容易"	"ui_qiandao_png,box4_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"100"	"1"	"240级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]、[orange]橙色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011061,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011062"	"240级跨服副本宗师宝箱-容易"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"240级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]、[orange]橙色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011062,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011063"	"240级跨服副本盟主宝箱-容易"	"ui_qiandao_png,g_box2_get"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"100"	"1"	"240级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]、[orange]橙色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011063,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011071"	"280级跨服副本少侠宝箱-容易"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"280级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]、[orange]橙色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011071,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011072"	"280级跨服副本宗师宝箱-容易"	"ui_qiandao_png,g_box2_get"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"100"	"1"	"280级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]、[orange]橙色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011072,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15011073"	"280级跨服副本盟主宝箱-容易"	"ui_qiandao_png,g_box1_get"	"100013"	"5"	"1"	"1"	"5"	"7"	"3"	"100"	"100"	"1"	"280级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]、[orange]橙色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5011073,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15012011"	"40级跨服副本少侠宝箱-普通"	"ui_qiandao_png,box3_get"	"100013"	"5"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"40级[blue]蓝色[-]、[purple]紫色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5012011,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15012012"	"40级跨服副本宗师宝箱-普通"	"ui_qiandao_png,box4_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"100"	"1"	"40级[blue]蓝色[-]、[purple]紫色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5012012,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15012013"	"40级跨服副本盟主宝箱-普通"	"ui_qiandao_png,g_box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"40级[blue]蓝色[-]、[purple]紫色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5012013,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"15012021"	"80级跨服副本少侠宝箱-普通"	"ui_qiandao_png,box3_get"	"100013"	"5"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"80级[blue]蓝色[-]、[purple]紫色[-]、[gold]金色[-]品质的武器、头盔、肩甲、腰带、裤子、靴子中的一件\n副本星级越高获得高品质装备的概率越高\n[blue]初级洗练石[-]"	"OnItemUse_UseTreasureBox,5012021,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
