"索引数字ID"	"名称（策划内部使用）"	"显示名称"	"类型0:怪1:npc2:可破坏物件3:静物4:采集物5.护送目标6.多人坐骑7.侍从"	"显示等级"	"初始化数值"	"显示头像"	"怪类型(0=普通怪,1=精英怪,2=稀有怪,3=首领怪,4=超级首领怪)"	"boss血条数"	"称谓"	"是否显示名称"	"是否显示npc/怪物血条该字段优先级大于游戏设置面板中的【显示怪物生命条】"	"是否可见"	"刚体特性.位移"	"选取特性.鼠标"	"选取特性.技能(是否可以被选中攻击目标，即是否无敌）"	"角色模型"	"缩放"	"模型放大的比率"	"移动速度"	"空闲速度"	"尺寸对位"	"技能判断点围绕着怪物进行分布。填100开头的代表两层，1000开头代表有3层"	"普通掉落"	"boss掉落(索引到BossDropConfig表)"	"掉落半径"	"屏蔽世界掉落"	"是否主动攻击"	"初始化阵营"	"ADD距离/静物触发距离"	"ADD数量/静物点击触发技能/采集物采集技能(采集距离和读条时间都由技能控制)"	"ADD延迟/采集物获得物品掉落ID"	"ADD开关（是否需要ADD别人）"	"被ADD开关（可否被ADD）"	"出生时检测是否需被ADD(用于控制怪物出生时是否寻找周围的盟友并触发进入战斗)"	"闲聊"	"交互类型（影响鼠标样式）0，无交互；1，传送门（金色）；2，传送门（蓝色）"	"传送门名称特效"	"角色功能"	"出生动画（对应ActionGroup）"	"死亡表现（对应ActionGroup）"	"死亡方式0=act1=重力"	"死后消失判断（跟刷新挂钩)"	"寿命"	"ai脚本"	"性格（索引到性格表）尽量不要乱填，去性格表里找对应模板"	"能力（索引到能力表）"	"进战斗说话"	"静物默认触发脚本"	"角色功能头顶图标无功能=0有功能=特效图标名称"	"是否被裁剪//当从屏幕外到屏幕内出现问题时多半是这个需要填成false"	"是否在交互中转向"	"场景层"	"DmaDialogShiftX,Y"	"DmaDialogEulerAngleX,Y"	"剧情中特殊的选中"	"是否修正坐标到地面"	"显示受击伤害的偏移"	"自动战斗ai攻击优先级"	"耐久值"	"破甲buff"	"破甲硬直时间"	"破甲普通掉落"	"点击语音"	"拒绝他人光环"	"脚步act"	"选中脚下光圈大小1-5共5档玩家等大=3boss=4超级大=5小动物=1or2"	"模型变色1=蓝色2=紫色3=金色4-橙色其他数字/留空=不变色"	""	""	""	""	""	""	""	""	
"23503"	"BOSS1"	"鸠摩罗"	"0"	"100"	"257"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70026"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1250"	"0"	"1"	"0"	"1"	"100204"	"30014000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23550"	"剧情本32-血色月无情"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23551"	"近战"	"云锦弟子"	"0"	"101"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"1"	"1"	"0"	"1"	"100204"	"40000401"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23552"	"远程"	"云锦弟子"	"0"	"101"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"1"	"1"	"0"	"1"	"100204"	"40000401"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23553"	"BOSS1"	"聂镜"	"0"	"101"	"257"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70029"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1280"	"0"	"1"	"0"	"1"	"100204"	"30015000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23600"	"剧情本33-白色妖法师"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23601"	"近战"	"云锦弟子"	"0"	"103"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"1"	"1"	"0"	"1"	"100204"	"40000401"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23602"	"远程"	"云锦弟子"	"0"	"103"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"1"	"1"	"0"	"1"	"100204"	"40000401"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23603"	"BOSS1"	"聂镜"	"0"	"103"	"257"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70029"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1280"	"0"	"1"	"0"	"1"	"100204"	"30015000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23650"	"剧情本34-残忍的实验"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23651"	"近战"	"云锦弟子"	"0"	"104"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"1"	"1"	"0"	"1"	"100204"	"40000401"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23652"	"远程"	"云锦弟子"	"0"	"104"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"1"	"1"	"0"	"1"	"100204"	"40000401"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23653"	"BOSS1"	"聂镜"	"0"	"104"	"257"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70029"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1280"	"0"	"1"	"0"	"1"	"100204"	"30015000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23700"	"剧情本35-容止叛离"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23701"	"近战"	"云锦弟子"	"0"	"106"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"1"	"1"	"0"	"1"	"100204"	"40000401"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23702"	"远程"	"云锦弟子"	"0"	"106"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"1"	"1"	"0"	"1"	"100204"	"40000401"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23703"	"BOSS1"	"欧阳羽"	"0"	"106"	"257"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1060"	"0"	"1"	"0"	"1"	"100204"	"30006000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23750"	"剧情本36-莫问之死"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23751"	"近战"	"仆人"	"0"	"107"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100007"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10110"	"1"	"1"	"0"	"1"	"100204"	"40000701"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23752"	"远程"	"仆人"	"0"	"107"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100007"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10110"	"1"	"1"	"0"	"1"	"100204"	"40000701"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23753"	"BOSS1"	"墨雨"	"0"	"107"	"255"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70003"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1020"	"0"	"1"	"0"	"1"	"100204"	"30007000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23754"	"BOSS2"	"欧阳羽"	"0"	"107"	"256"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1060"	"0"	"1"	"0"	"1"	"100204"	"30006000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23800"	"剧情本37-月下决战"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23801"	"近战"	"云锦弟子"	"0"	"109"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"1"	"1"	"0"	"1"	"100204"	"40000401"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23802"	"远程"	"云锦弟子"	"0"	"109"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"1"	"1"	"0"	"1"	"100204"	"40000401"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23803"	"BOSS1"	"欧阳羽"	"0"	"109"	"255"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1060"	"0"	"1"	"0"	"1"	"100204"	"30006000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23804"	"BOSS2"	"聂镜"	"0"	"109"	"256"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70029"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1280"	"0"	"1"	"0"	"1"	"100204"	"30015000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23850"	"剧情本38-容止服毒"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23851"	"近战"	"家仆"	"0"	"110"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100007"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10110"	"1"	"1"	"0"	"1"	"100204"	"40000701"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23852"	"远程"	"家仆"	"0"	"110"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100007"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10110"	"1"	"1"	"0"	"1"	"100204"	"40000701"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23853"	"BOSS1"	"鸠摩海"	"0"	"110"	"255"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70026"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1250"	"0"	"1"	"0"	"1"	"100204"	"30014000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23854"	"BOSS2"	"欧阳羽"	"0"	"110"	"256"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1060"	"0"	"1"	"0"	"1"	"100204"	"30006000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23900"	"剧情本39-败战之约"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23901"	"近战"	"云锦弟子"	"0"	"112"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"1"	"1"	"0"	"1"	"100204"	"40000401"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23902"	"远程"	"云锦弟子"	"0"	"112"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"1"	"1"	"0"	"1"	"100204"	"40000401"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23903"	"BOSS1"	"欧阳羽"	"0"	"112"	"255"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1060"	"0"	"1"	"0"	"1"	"100204"	"30006000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23904"	"BOSS2"	"聂镜"	"0"	"112"	"256"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70029"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1280"	"0"	"1"	"0"	"1"	"100204"	"30015000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23950"	"剧情本40-天如月之死"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23951"	"近战"	"北魏侍卫"	"0"	"113"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100009"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10150"	"1"	"1"	"0"	"1"	"100204"	"40000901"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23952"	"远程"	"北魏侍卫"	"0"	"113"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100009"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10150"	"1"	"1"	"0"	"1"	"100204"	"40000901"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23953"	"BOSS1"	"欧阳羽"	"0"	"113"	"255"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1060"	"0"	"1"	"0"	"1"	"100204"	"30006000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23954"	"BOSS2"	"白伊"	"0"	"113"	"256"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70029"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1280"	"0"	"1"	"0"	"1"	"100204"	"30015000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
